,Latitude,Longitude,Confidence,Surface Temperature (Celcius)
355,-36.5438,144.7548,99,84
356,-36.7943,143.9571,99,84
357,-37.399,148.08100000000002,100,84
358,-36.2693,143.1768,94,85
359,-37.293,141.245,99,85
360,-37.5867,143.6256,99,85
361,-36.1586,145.6666,99,85
362,-35.8276,143.7549,99,85
363,-36.0691,145.7797,99,85
364,-37.8885,143.9157,99,85
365,-36.7287,142.6017,99,85
366,-37.777,148.4128,99,85
367,-36.6349,142.2125,94,86
368,-37.6,149.325,99,86
369,-36.2882,141.1821,99,86
370,-36.7153,143.8226,99,86
371,-37.5115,143.14,99,86
372,-37.7236,143.3995,99,86
373,-34.351,141.6567,99,86
374,-35.8768,145.4627,100,86
375,-37.4796,141.9403,94,87
376,-37.606,149.312,100,87
377,-37.294000000000004,141.232,100,87
378,-36.345,143.4256,100,87
379,-36.664,142.8802,100,87
380,-37.8412,147.2536,100,87
381,-37.9594,143.5638,100,87
382,-36.7957,143.9652,100,87
383,-36.0837,144.2448,100,87
384,-37.6387,142.9032,87,88
385,-37.406,148.123,100,88
386,-36.3756,143.7243,100,88
387,-36.7309,142.3633,100,88
388,-37.9071,143.53799999999998,100,88
389,-36.3999,144.737,100,88
390,-37.3847,142.8935,100,88
391,-37.8429,143.8366,100,88
392,-38.0052,142.6179,94,89
393,-36.3799,143.7149,100,89
394,-38.5123,146.4007,100,89
395,-36.7742,145.1991,100,89
396,-37.7002,142.9562,100,89
397,-37.0761,141.0574,100,89
398,-37.4591,144.9492,100,89
399,-37.2168,147.4748,100,89
400,-37.383,145.9089,100,89
401,-38.0693,142.9722,100,89
402,-36.3332,145.8594,87,90
403,-37.461999999999996,148.089,100,90
404,-37.9047,141.0945,100,90
405,-38.0361,146.0567,100,90
406,-36.1532,143.5527,100,90
407,-36.0682,146.0602,100,90
408,-36.6615,144.6014,100,90
409,-37.0899,141.0238,100,90
410,-37.1999,143.8231,100,90
411,-36.3972,141.6041,100,90
412,-37.2988,143.5487,100,90
413,-37.5012,142.5853,100,90
414,-36.3459,141.5586,100,91
415,-38.0795,143.2449,100,91
416,-37.3949,147.0175,100,91
417,-36.0973,143.4279,87,92
418,-36.4125,143.1189,100,92
419,-35.1857,141.0604,100,92
420,-36.4409,141.6948,100,92
421,-35.8182,143.8739,100,92
422,-37.4343,147.6327,100,92
423,-38.0792,143.7361,94,93
424,-37.477,143.352,100,93
425,-38.4349,146.3122,100,93
426,-36.0077,141.7747,100,93
427,-36.8791,142.7261,100,93
428,-37.5043,146.3299,100,93
429,-36.8283,143.4605,100,93
430,-36.1771,145.7451,100,93
431,-36.7089,143.3518,100,93
432,-35.6469,142.376,100,93
433,-37.9174,145.8678,100,93
434,-37.297,143.5753,100,93
435,-36.3433,143.4369,100,94
436,-36.0576,141.6122,100,94
437,-38.1917,147.0745,100,94
438,-36.5854,143.0462,100,94
439,-37.5701,142.6497,100,94
440,-35.2378,142.9864,100,94
441,-36.1506,143.5671,100,95
442,-36.4035,140.9935,100,95
443,-37.5027,146.347,100,95
444,-38.027,142.3844,100,95
445,-35.6374,142.3787,100,95
446,-35.805,142.1326,100,95
447,-36.9034,141.0013,100,95
448,-37.3735,145.8384,100,95
449,-37.3735,145.886,87,96
450,-35.811,142.1403,94,96
451,-36.5454,144.7402,100,96
452,-37.4352,143.1444,100,96
453,-36.91,141.2705,100,96
454,-37.9246,146.2464,100,96
455,-37.7974,145.9535,87,97
456,-36.4142,143.1077,100,97
457,-36.4518,144.7752,100,97
458,-36.9918,141.8667,100,97
459,-37.4128,147.0242,85,98
460,-36.0816,145.859,100,98
461,-36.7708,145.1908,100,98
462,-37.3902,148.2955,100,98
463,-37.5728,142.6348,100,98
464,-37.5949,142.6857,100,98
465,-37.8249,143.6174,100,98
466,-36.1819,145.9269,100,98
467,-37.3025,143.5714,100,98
468,-36.7499,141.3006,75,99
469,-36.5839,143.0588,100,99
470,-38.0254,142.3959,100,99
471,-37.782,148.3844,100,99
472,-37.8881,145.8229,100,99
473,-37.4229,147.02700000000002,100,99
474,-36.1988,145.0941,100,100
475,-36.9018,141.0146,100,100
